"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_index","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score"
"127","Namibia",39,68,73,55,196,1,2,2,2,2,2,2,2,3,0.536986301369863,0.186301369863014,0.106849315068493,0.2,104,151,96,151,502,20201215,0,1,1,2,0,0,0,1,0,0,0,0,2,2,2,0,0,3,0,0,16913,164,28.7,31.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Niger",65,83,87,0,170,1,1,1,1,1,2,2,1,2,0.465753424657534,0.227397260273973,0.178082191780822,0.238356164383562,128,62,67,62,319,20201215,0,1,1,2,0,0,0,2,0,0,0,0,2,3,0,0,0,3,0,0,2361,82,31.48,27.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Nigeria",56,91,58,30,179,2,3,2,2,2,2,2,2,3,0.49041095890411,0.249315068493151,0.153424657534247,0.158904109589041,90,92,59,92,333,20201215,1,1,1,3,0,2,1,2,0,0,0,0,2,1,2,0,0,3,0,3,74132,1200,50.93,47.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Nicaragua",52,0,108,75,183,1,NA,NA,NA,NA,NA,1,NA,NA,0.501369863013699,0,0.142465753424658,0.295890410958904,156,114,189,114,573,20201215,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,5887,162,8.33,10.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Niue",45,6,184,0,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520547945205479,0.0164383561643836,0.123287671232877,0.504109589041096,196,134,187,134,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Netherlands",49,56,112,18,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50958904109589,0.153424657534247,0.134246575342466,0.306849315068493,157,123,118,123,521,20201215,1,3,2,4,1,1,1,3,2,1,0,0,2,2,1,0,0,2,0,2,628577,10168,71.3,64.06,75,54,10,9,10,87,87,52,70,62,368,184,174,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Norway",54,22,149,10,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495890410958904,0.0602739726027397,0.147945205479452,0.408219178082192,182,103,171,103,559,20201215,1,2,2,4,0,1,1,2,2,0,0,0,2,2,2,0,0,2,0,2,41852,395,56.02,53.12,37.5,57,7,12,13,73,73,59,60,51,323,170,146,25,2.4,20,3.1,26,2.2,27,2.2,98
"134","Nepal",32,131,6,66,203,1,2,1,1,NA,2,1,1,2,0.556164383561644,0.358904109589041,0.0876712328767123,0.0164383561643836,51,168,30,168,417,20201215,2,1,2,3,1,1,1,3,1,1,0,0,2,NA,1,0,0,4,0,0,250180,1730,60.19,49.48,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Nauru",10,0,225,0,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616438356164384,0,0.0273972602739726,0.616438356164384,200,193,189,193,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","New Zealand",62,14,133,26,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473972602739726,0.0383561643835616,0.16986301369863,0.364383561643836,174,74,180,74,502,20201215,0,0,0,0,0,0,0,4,1,2,0,0,2,2,2,0,0,2,0,1,2100,25,22.22,37.5,75,43,21,14,11,69,69,66,52,67,344,185,138,17,3.4,21,3.5,13,2.6,15,2.3,66
